"For this destination country you have to split your invoice into chunks cheaper than %s.";"Für dieses Zielland muss die Rechnung in Teile zu je maximal %s aufgesplittet werden."
"For this destination country you have to split your shipping into chunks cheaper than %s.","Für dieses Zielland muss die Sendung in Teile zu je maximal %s aufgesplittet werden."
"Countries with limited invoice amounts","Länder mit begrenztem Rechnungsbetrag"
"This limits will be applied to invoices and shipments with a shipping address of this countries. On each line you can enter a country (2-chars country code) followed by a colon and the amount (in your base currency). Example: ""CH:1000""","Diese Begrenzungen werden auf Rechnungen und Sendungen in das entsprechende Land angewendet. Pro Zeile kann ein Land (2-Buchstaben-Code) und nach einem Doppelpunkt der maximale Betrag (in der Basiswährung) angegeben werden. Beispiel: ""CH:1000"""
